Monoterpene_EZ,Monoterpene,Time_series,Time_series
Mx_data[][714].d,,tseries.d,tseries.d
137.1325073242;C10H16H+,,,
35.6461,,8/4/2019 20:19,43681.84684
29.4891,,8/4/2019 20:19,43681.84685
46.2138,,8/4/2019 20:19,43681.84686
43.4744,,8/4/2019 20:19,43681.84688
32.0771,,8/4/2019 20:19,43681.84689
27.036,,8/4/2019 20:19,43681.8469
39.591,,8/4/2019 20:19,43681.84691
27.2257,,8/4/2019 20:19,43681.84692
22.7115,,8/4/2019 20:19,43681.84693
30.8249,,8/4/2019 20:19,43681.84694
23.9413,,8/4/2019 20:19,43681.84696
24.7369,,8/4/2019 20:19,43681.84697
34.7319,,8/4/2019 20:19,43681.84698
24.3824,,8/4/2019 20:19,43681.84699
28.6767,,8/4/2019 20:19,43681.847
34.8372,,8/4/2019 20:19,43681.84701
26.6645,,8/4/2019 20:19,43681.84703
21.0711,,8/4/2019 20:19,43681.84704
28.676,,8/4/2019 20:19,43681.84705
26.8459,,8/4/2019 20:19,43681.84706
23.6066,,8/4/2019 20:19,43681.84707
15.5008,,8/4/2019 20:19,43681.84708
22.1199,,8/4/2019 20:19,43681.84709
28.4155,,8/4/2019 20:19,43681.84711
19.5376,,8/4/2019 20:19,43681.84712
17.263,,8/4/2019 20:19,43681.84713
16.0038,,8/4/2019 20:19,43681.84714
17.4625,,8/4/2019 20:19,43681.84715
23.4525,,8/4/2019 20:19,43681.84716
14.2526,,8/4/2019 20:19,43681.84718
20.9441,,8/4/2019 20:19,43681.84719
23.8039,,8/4/2019 20:19,43681.8472
20.2031,,8/4/2019 20:19,43681.84721
22.7937,,8/4/2019 20:20,43681.84722
24.2558,,8/4/2019 20:20,43681.84723
18.8967,,8/4/2019 20:20,43681.84725
31.1784,,8/4/2019 20:20,43681.84726
17.2914,,8/4/2019 20:20,43681.84727
24.0569,,8/4/2019 20:20,43681.84728
27.41,,8/4/2019 20:20,43681.84729
19.1757,,8/4/2019 20:20,43681.8473
14.6091,,8/4/2019 20:20,43681.84731
23.7879,,8/4/2019 20:20,43681.84733
29.7449,,8/4/2019 20:20,43681.84734
21.4209,,8/4/2019 20:20,43681.84735
21.0653,,8/4/2019 20:20,43681.84736
19.024,,8/4/2019 20:20,43681.84737
16.5531,,8/4/2019 20:20,43681.84738
18.5632,,8/4/2019 20:20,43681.8474
27.4021,,8/4/2019 20:20,43681.84741
14.7084,,8/4/2019 20:20,43681.84742
26.0348,,8/4/2019 20:20,43681.84743
23.611,,8/4/2019 20:20,43681.84744
17.488,,8/4/2019 20:20,43681.84745
19.64,,8/4/2019 20:20,43681.84747
22.9468,,8/4/2019 20:20,43681.84748
23.0253,,8/4/2019 20:20,43681.84749
17.1315,,8/4/2019 20:20,43681.8475
16.0419,,8/4/2019 20:20,43681.84751
