BlobID,Compound Name,Category,Label,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library ID,Library Match Factor,Library Reverse Match Factor,Library Name,Library Probability,Library RI,Library Formula
2051,"Oxime-, methoxy-phenyl-_",Unknown,,,FALSE,0,21.5000265,0.499999965,1703,7841,117767,627,789,mainlib,18.31999969,,C8H9NO2
2053,coeluted monoterpene,Monoterpene,Carene (?),,TRUE,0,21.58335982,0.519999964,1260,8088,-1,-1,-1,-,-1,,-
1697,"Benzene, 1-ethyl-2-methyl-",Unknown,,,FALSE,0,19.91669327,1.919999866,1477,20124,80896,633,766,mainlib,11.77000046,970,C9H12
1670,"4-Cyclopentene-1,3-dione, 4-phenyl-",Unknown,,DOM?,TRUE,0,41.5000251,1.649999885,1601,20151,76174,760,779,mainlib,87.61000061,,C11H8O2
2038,9-Decene-1-nitrile,Unknown,,,FALSE,0,32.16669242,1.469999897,757,20170,104318,584,663,mainlib,38.52000046,,C10H17N
2016,"Acetamide, 2-(imidazol-1-yl)-",Unknown,,,FALSE,0,27.50002608,1.71999988,837,20240,109222,557,634,mainlib,55.13999939,,C5H7N3O
2043,"Benzene-1,2,4-tricarbonitrile",Unknown,,,FALSE,0,38.75002529,3.409999761,686,20261,142924,736,793,mainlib,68.19999695,,C9H3N3
1917,"Phthalic acid, ethyl pentadecyl ester",Unknown,,,FALSE,0,41.75002508,2.479999826,1087,20268,138919,712,748,mainlib,9.470000267,,C25H40O4
1187,"Cyclotetrasiloxane, octamethyl-",Unknown,,,FALSE,0,20.16669326,4.269999701,2979,20292,220100,734,772,mainlib,47.99000168,997,C8H24O4Si4
1998,12-Crown-4,Unknown,,,FALSE,0,21.58335982,1.049999927,910,20312,16799,690,775,mainlib,26.21999931,,C8H16O4
2017,"3-Deoxy-L-ribose-2,5-dibenzoate",Unknown,,,FALSE,0,27.33335942,1.499999895,833,20409,78426,597,634,mainlib,9.859999657,,C19H18O6
1901,"Ethanone, 2-(benzoyloxy)-1-[1,1'-biphenyl]-4-yl-",Unknown,,,FALSE,0,43.50002496,0.989999931,1089,20462,168219,610,655,mainlib,10.60000038,,C21H16O3
2026,"Piperidine, 1-(cyanoacetyl)-",Unknown,,,FALSE,0,33.66669231,1.109999922,810,20484,142071,581,656,mainlib,12.27000046,,C8H12N2O
1824,"Ethanone, 2-(5-methoxy-1-methyl-2-benzimidazolyl)thio-1-phenyl-",Unknown,,,FALSE,0,23.66669301,4.079999714,1198,20524,79643,617,628,mainlib,17.70000076,,C17H16N2O2S
1922,"4,7-Methano-1H-isoindole-1,3(2H)-dione, 3a,4,7,7a-tetrahydro-, (3aα,4α,7α,7aα)-",Unknown,,,FALSE,0,22.75002641,4.089999714,1134,20558,32167,678,707,mainlib,7.920000076,,C9H9NO2
1568,"2-(1,1,3,3-Tetramethylbutyl)-1,4-benzenediol peak 1",Unknown,,,FALSE,0,38.75002529,0.949999934,1936,20647,139843,598,632,mainlib,17.53000069,,C14H22O2
1245,"Cyclotetrasiloxane, octamethyl-",Unknown,,,FALSE,0,20.16669326,3.379999763,2732,20665,220100,710,751,mainlib,58.65000153,997,C8H24O4Si4
1831,"2-Dodecene, (E)-",Unknown,,,FALSE,0,24.66669294,4.42999969,1248,20670,19648,758,826,mainlib,4.260000229,1197,C12H24
1807,"Benzene, (3-methylcyclopentyl)-",Unknown,,,FALSE,0,37.5833587,1.419999901,1235,20746,77516,685,748,mainlib,15.85999966,,C12H16
1992,"4,5-Dihydrooxazole-5-one, 4-chloromethylene-2-phenyl-",Unknown,,,FALSE,0,23.66669301,4.979999651,949,20755,79645,638,687,mainlib,6.139999866,,C10H6ClNO2
1754,"Cyclohexanol, 2-isocyano-, trans-",Unknown,,,FALSE,0,24.08335965,4.609999677,1377,20960,18643,644,732,mainlib,20.97999954,,C7H11NO
2050,"Carbonic acid, but-3-en-1-yl hexadecyl ester",Unknown,,,FALSE,0,38.83335862,4.849999661,560,21002,21391,519,575,mainlib,43.36999893,2317,C21H40O3
1955,4-Oxononanal,Unknown,,,FALSE,0,30.50002587,1.629999886,1014,21249,9895,672,758,mainlib,31.02000046,1202,C9H16O2
1982,"7-Oxo-2-oxa-7-thiatricyclo[4.4.0.0(3,8)]decan-4-ol",Unknown,,,FALSE,0,36.75002543,1.319999908,917,21261,4074,549,581,mainlib,6.599999905,,C8H12O3S
2048,"D:A-Friedooleanan-29-ol, (20α)-",Unknown,,,FALSE,0,42.75002501,4.589999679,552,21358,212897,391,450,mainlib,21.51000023,,C30H52O
